   x       Re[y]    Im[y]
10.00000 -2.44713 0.42608
10.71429 -2.20139 0.08045
11.42857 -2.07316 -0.04291
12.14286 -2.19175 -0.24809
12.85714 -2.77803 -0.20968
13.57143 -2.54674 0.37732
14.28571 -2.66851 0.36159
15.00000 -2.84828 -0.41846
15.71429 -3.10558 0.30402
16.42857 -2.85611 0.57932
17.14286 -3.76403 0.87333
17.85714 -3.48417 0.39557
18.57143 -3.50870 0.47869
19.28571 -3.81199 0.62606
20.00000 -3.73980 0.44073
20.71429 -4.03906 0.97606
21.42857 -3.36492 0.50818
22.14286 -4.22869 0.47089
22.85714 -4.33560 1.01634
23.57143 -4.98424 0.76448
24.28571 -5.39195 0.85577
25.00000 -5.38326 1.29136
25.71429 -6.69896 1.31174
26.42857 -5.79633 1.53476
27.14286 -6.29357 1.68592
27.85714 -6.87203 2.04181
28.57143 -7.43423 1.99115
29.28571 -8.02912 3.13084
30.00000 -9.03640 3.29243
30.71429 -9.91441 4.60074
31.42857 -10.76805 5.85142
32.14286 -11.54553 7.32329
32.85714 -11.85845 9.79700
33.57143 -12.42952 12.88418
34.28571 -12.01295 16.82260
35.00000 -8.89852 21.57543
35.71429 -3.11849 25.16629
36.42857 4.33940 24.38915
37.14286 9.77222 20.72330
37.85714 12.03871 15.92590
38.57143 12.26252 11.83329
39.28571 11.75356 9.12203
40.00000 10.77115 7.28474
40.71429 9.98556 5.20937
41.42857 9.63215 4.46360
42.14286 8.67676 3.14778
42.85714 8.49189 3.71182
43.57143 7.20547 2.33851
44.28571 7.46540 1.98132
45.00000 6.31518 2.11565
45.71429 6.38218 1.53276
46.42857 5.49432 1.73661
47.14286 5.03085 1.49767
47.85714 4.79507 1.46367
48.57143 4.87754 0.30875
49.28571 4.64940 0.94143
50.00000 4.78105 0.48772
50.71429 4.01504 0.55518
51.42857 3.61948 0.65310
52.14286 3.58650 -0.08844
52.85714 4.07183 0.88123
53.57143 2.85475 1.18744
54.28571 3.42386 0.96940
55.00000 3.34168 0.35221
55.71429 2.68815 0.50771
56.42857 2.81549 0.77671
57.14286 2.71683 0.19820
57.85714 2.64375 0.41490
58.57143 2.75109 -0.05898
59.28571 2.18747 -0.46683
60.00000 3.07249 -0.13031
