    x (cm)     y (mV)       yerr
  0.000000   3.927996   0.200000
  0.500000   3.787147   0.200000
  1.000000   3.811854   0.200000
  1.500000   3.176016   0.200000
  2.000000   3.091018   0.200000
  2.500000   2.603980   0.200000
  3.000000   2.820628   0.200000
  3.500000   2.599562   0.200000
  4.000000   2.709390   0.200000
  4.500000   1.861777   0.200000
  5.000000   2.425956   0.200000
  5.500000   2.115146   0.200000
  6.000000   2.347345   0.200000
  6.500000   1.794902   0.200000
  7.000000   1.548478   0.200000
  7.500000   2.003565   0.200000
  8.000000   1.736189   0.200000
  8.500000   2.068618   0.200000
  9.000000   1.915402   0.200000
  9.500000   1.730000   0.200000
 10.000000   1.999841   0.200000
