         x          y
-10.000000  -0.383373
 -9.411765  -0.309937
 -8.823529  -0.327159
 -8.235294  -0.303617
 -7.647059  -0.328918
 -7.058824  -0.317671
 -6.470588  -0.304273
 -5.882353  -0.268688
 -5.294118  -0.287648
 -4.705882  -0.319510
 -4.117647  -0.201577
 -3.529412  -0.158547
 -2.941176   0.001921
 -2.352941   0.202571
 -1.764706   0.405637
 -1.176471   0.708596
 -0.588235   1.006032
  0.000000   1.084862
  0.588235   1.237762
  1.176471   1.140835
  1.764706   1.078773
  2.352941   0.733340
  2.941176   0.531604
  3.529412   0.194172
  4.117647   0.076759
  4.705882  -0.063311
  5.294118  -0.191145
  5.882353  -0.205749
  6.470588  -0.162590
  7.058824  -0.389579
  7.647059  -0.269705
  8.235294  -0.361009
  8.823529  -0.361995
  9.411765  -0.269844
 10.000000  -0.343047
