    x (cm)     y (mV)
  1.000000   1.881757
  1.204545   1.839071
  1.409091   1.536047
  1.613636   1.550609
  1.818182   1.661844
  2.022727   1.777062
  2.227273   1.637052
  2.431818   1.673520
  2.636364   1.648515
  2.840909   1.649901
  3.045455   1.516802
  3.250000   1.628803
  3.454545   1.854675
  3.659091   2.083045
  3.863636   2.314405
  4.068182   2.922335
  4.272727   3.261087
  4.477273   3.725262
  4.681818   4.004679
  4.886364   3.967778
  5.090909   3.860854
  5.295455   3.817945
  5.500000   3.310540
  5.704545   2.586531
  5.909091   2.225836
  6.113636   1.740305
  6.318182   1.384527
  6.522727   1.271183
  6.727273   1.158868
  6.931818   1.062671
  7.136364   1.155230
  7.340909   1.074081
  7.545455   0.844740
  7.750000   1.136678
  7.954545   1.095199
  8.159091   0.971839
  8.363636   1.236258
  8.568182   1.050764
  8.772727   1.156432
  8.977273   1.049832
  9.181818   1.044153
  9.386364   0.866624
  9.590909   1.212373
  9.795455   1.162967
 10.000000   0.975702
