    x (mm)     y (mm)       yerr
  0.000000   4.502655   0.629739
  0.571429   2.994108   1.410730
  1.142857   0.046984   1.610364
  1.714286  -2.840224   1.992762
  2.285714  -3.790805   0.874092
  2.857143  -2.997064   1.381864
  3.428571  -2.188636   0.826834
  4.000000  -2.123313   0.817417
  4.571429   0.628457   1.885123
  5.142857   0.544150   0.603070
  5.714286   3.750179   1.573583
  6.285714   6.505964   0.682850
  6.857143  11.483885   1.504419
  7.428571  13.882928   1.939986
  8.000000  21.967016   1.103451
