   t (sec)      y (V)
-10.000000   0.860577
 -9.411765  -0.353538
 -8.823529  -0.618037
 -8.235294  -0.895255
 -7.647059  -0.735658
 -7.058824  -0.269542
 -6.470588   1.097089
 -5.882353   2.278240
 -5.294118   3.377110
 -4.705882   4.472248
 -4.117647   5.349002
 -3.529412   4.886219
 -2.941176   4.234031
 -2.352941   3.421815
 -1.764706   2.144833
 -1.176471   1.344200
 -0.588235   0.073776
  0.000000  -1.000525
  0.588235  -1.095400
  1.176471  -0.890244
  1.764706   0.030378
  2.352941   1.080892
  2.941176   2.104783
  3.529412   3.197448
  4.117647   4.325491
  4.705882   4.991068
  5.294118   5.038359
  5.882353   4.657027
  6.470588   3.359962
  7.058824   2.857090
  7.647059   1.533445
  8.235294   0.423710
  8.823529  -0.689390
  9.411765  -0.695344
 10.000000  -1.092277
